id	uf	municipio	total	quantidade	percentual
4168	RS	DONA FRANCISCA	65	59	9.23
4169	RS	DOUTOR MAURICIO CARDOSO	137	118	13.14
4170	RS	DOUTOR RICARDO	41	37	7.32
4171	RS	ELDORADO DO SUL	1069	843	18.43
4172	RS	ENCANTADO	501	436	11.58
4173	RS	ENCRUZILHADA DO SUL	893	707	19.37
4174	RS	ENGENHO VELHO	71	62	12.68
4175	RS	ENTRE RIOS DO SUL	99	80	18.18
4176	RS	ENTRE-IJUIS	228	172	21.93
4177	RS	EREBANGO	89	68	15.73
4178	RS	ERECHIM	4148	3438	13.84
4179	RS	ERNESTINA	81	55	9.88
4180	RS	ERVAL GRANDE	92	79	14.13
4181	RS	ERVAL SECO	181	152	14.92
4182	RS	ESMERALDA	64	58	3.13
4183	RS	ESPERANCA DO SUL	38	36	5.26
4184	RS	ESPUMOSO	429	377	11.42
4185	RS	ESTACAO	210	190	6.67
4186	RS	ESTANCIA VELHA	788	694	10.53
4187	RS	ESTEIO	3003	2490	15.52
4188	RS	ESTRELA	577	416	9.71
4189	RS	ESTRELA VELHA	68	64	1.47
4190	RS	EUGENIO DE CASTRO	38	34	10.53
4191	RS	FAGUNDES VARELA	47	46	2.13
4192	RS	FARROUPILHA	1207	1030	12.84
4193	RS	FAXINAL DO SOTURNO	180	132	20.56
4194	RS	FAXINALZINHO	80	68	10.00
4195	RS	FAZENDA VILANOVA	61	31	14.75
4196	RS	FELIZ	352	313	3.41
4197	RS	FLORES DA CUNHA	488	427	10.45
4198	RS	FLORIANO PEIXOTO	36	33	8.33
4199	RS	FONTOURA XAVIER	227	172	7.93
4200	RS	FORMIGUEIRO	209	164	17.22
4201	RS	FORQUETINHA	18	15	11.11
4202	RS	FORTALEZA DOS VALOS	88	79	10.23
4203	RS	FREDERICO WESTPHALEN	1069	911	12.35
4204	RS	GARIBALDI	713	657	6.59
4205	RS	GARRUCHOS	74	57	17.57
4206	RS	GAURAMA	169	144	13.61
4207	RS	GENERAL CAMARA	314	273	12.74
4208	RS	GENTIL	50	46	4.00
4209	RS	GETULIO VARGAS	500	435	11.00
